Date,Open,High,Low,Close,Volume
2015/7/29 下午 4:00:00,209.48,211.04,209.31,210.77,105791255
2015/7/30 下午 4:00:00,210.16,211.02,209.42,210.82,91304374
2015/7/31 下午 4:00:00,211.42,211.45,210.16,210.5,103266857
2015/8/3 下午 4:00:00,210.46,210.53,208.65,209.79,113965728
2015/8/4 下午 4:00:00,209.7,210.25,208.8,209.38,81820823
2015/8/5 下午 4:00:00,210.45,211.31,209.73,210.07,85786817
2015/8/6 下午 4:00:00,210.29,210.42,207.65,208.35,116030803
2015/8/7 下午 4:00:00,208.16,208.34,206.87,207.95,117857956
2015/8/10 下午 4:00:00,209.28,210.67,209.28,210.57,80270676
2015/8/11 下午 4:00:00,208.97,209.47,207.76,208.67,126081377
2015/8/12 下午 4:00:00,207.11,209.14,205.36,208.92,172123672
2015/8/13 下午 4:00:00,208.73,209.55,208.01,208.66,89383253
2015/8/14 下午 4:00:00,208.43,209.51,208.26,209.42,72786528
2015/8/17 下午 4:00:00,208.71,210.59,208.16,210.59,79072643
2015/8/18 下午 4:00:00,210.26,210.68,209.7,209.98,71692678
2015/8/19 下午 4:00:00,209.09,210.01,207.35,208.32,172945975
2015/8/20 下午 4:00:00,206.51,208.29,203.9,203.97,194327884
2015/8/21 下午 4:00:00,201.73,203.94,197.52,197.63,346588469
2015/8/24 下午 4:00:00,187.49,197.48,182.4,189.55,507244333
2015/8/25 下午 4:00:00,195.43,195.45,186.92,187.27,369833071
2015/8/26 下午 4:00:00,192.08,194.79,188.37,194.46,339256986
2015/8/27 下午 4:00:00,197.02,199.42,195.21,199.27,274143906
2015/8/28 下午 4:00:00,198.5,199.84,197.92,199.28,160414352
2015/8/31 下午 4:00:00,198.11,199.13,197.01,197.67,163298816
2015/9/1 下午 4:00:00,193.12,194.77,190.73,191.77,256000392
2015/9/2 下午 4:00:00,194.62,195.46,192.42,195.41,160269331
2015/9/3 下午 4:00:00,196.26,198.05,194.96,195.55,152087836
2015/9/4 下午 4:00:00,192.85,193.86,191.61,192.59,207080961
2015/9/8 下午 4:00:00,195.94,197.61,195.17,197.43,116025739
2015/9/9 下午 4:00:00,199.32,199.47,194.35,194.79,149347735
2015/9/10 下午 4:00:00,194.56,197.22,194.25,195.85,158611063
2015/9/11 下午 4:00:00,195.38,196.82,194.53,196.74,119691212
2015/9/14 下午 4:00:00,196.95,197.01,195.43,196.01,79451983
2015/9/15 下午 4:00:00,196.61,198.99,195.96,198.46,113806176
2015/9/16 下午 4:00:00,198.82,200.41,198.41,200.18,99581557
2015/9/17 下午 4:00:00,200.02,202.89,199.28,199.73,276046618
2015/9/18 下午 4:00:00,195.71,198.68,194.96,195.45,223657456
2015/9/21 下午 4:00:00,196.44,197.68,195.21,196.46,105726209
2015/9/22 下午 4:00:00,193.88,194.46,192.56,193.91,153890876
2015/9/23 下午 4:00:00,194.11,194.67,192.91,193.6,92790620
2015/9/24 下午 4:00:00,192.15,193.45,190.56,192.9,159378840
2015/9/25 下午 4:00:00,194.64,195,191.81,192.85,155054777
2015/9/28 下午 4:00:00,191.78,191.91,187.64,188.01,178515871
2015/9/29 下午 4:00:00,188.27,189.74,186.93,188.12,159045572
2015/9/30 下午 4:00:00,190.37,191.83,189.44,191.63,163452044
2015/10/1 下午 4:00:00,192.08,192.49,189.82,192.13,131078964
2015/10/2 下午 4:00:00,189.77,195.03,189.12,195,211003342
2015/10/5 下午 4:00:00,196.46,198.74,196.33,198.47,126320842
2015/10/6 下午 4:00:00,198.31,198.98,197,197.79,110274530
2015/10/7 下午 4:00:00,198.9,199.83,197.48,199.41,124307295
2015/10/8 下午 4:00:00,198.95,201.55,198.59,201.21,153055231
2015/10/9 下午 4:00:00,201.38,201.9,200.58,201.33,107069240
2015/10/12 下午 4:00:00,201.42,201.76,200.91,201.52,56395585
2015/10/13 下午 4:00:00,200.65,202.16,200.05,200.25,88038718
2015/10/14 下午 4:00:00,200.18,200.87,198.94,199.29,99106161
2015/10/15 下午 4:00:00,200.08,202.36,199.64,202.35,134142195
2015/10/16 下午 4:00:00,202.83,203.29,201.92,203.27,114580052
2015/10/19 下午 4:00:00,202.5,203.37,202.13,203.37,76523897
2015/10/20 下午 4:00:00,202.85,203.84,202.55,203.09,78448484
2015/10/21 下午 4:00:00,203.61,203.79,201.65,201.85,102038033
2015/10/22 下午 4:00:00,202.98,205.51,201.85,205.26,174911723
2015/10/23 下午 4:00:00,207.25,207.95,206.3,207.51,144442340
2015/10/26 下午 4:00:00,207.3,207.37,206.56,207,69032965
2015/10/27 下午 4:00:00,206.2,207,205.79,206.6,77903770
2015/10/28 下午 4:00:00,207,208.98,206.21,208.95,135906725
2015/10/29 下午 4:00:00,208.35,209.27,208.21,208.83,90525498
2015/10/30 下午 4:00:00,209.06,209.44,207.74,207.93,131076942
2015/11/2 下午 4:00:00,208.32,210.62,208.17,210.39,86270811
2015/11/3 下午 4:00:00,209.97,211.66,209.7,211,95246052
2015/11/4 下午 4:00:00,211.35,211.5,209.72,210.36,96224477
2015/11/5 下午 4:00:00,210.43,210.98,209.09,210.15,78408744
2015/11/6 下午 4:00:00,209.74,210.32,208.46,210.04,110471473
2015/11/9 下午 4:00:00,209.26,209.49,206.95,208.08,131008660
2015/11/10 下午 4:00:00,207.51,208.6,207.19,208.56,75874602
2015/11/11 下午 4:00:00,208.88,208.94,207.66,207.74,67845971
2015/11/12 下午 4:00:00,206.5,207.06,204.82,204.84,121315200
2015/11/13 下午 4:00:00,204.35,204.67,202.44,202.54,153577050
2015/11/16 下午 4:00:00,202.32,205.69,202.18,205.62,117583346
2015/11/17 下午 4:00:00,205.99,207.04,204.88,205.47,121123744
2015/11/18 下午 4:00:00,206.04,208.9,205.99,208.73,121342544
2015/11/19 下午 4:00:00,208.59,209.05,208.2,208.55,88220465
2015/11/20 下午 4:00:00,209.45,210.12,208.86,209.31,94011519
2015/11/23 下午 4:00:00,209.38,209.98,208.52,209.07,64931172
2015/11/24 下午 4:00:00,207.87,209.83,207.41,209.35,98874365
2015/11/25 下午 4:00:00,209.5,209.74,209.01,209.32,51980062
2015/11/27 下午 4:00:00,209.43,209.8,208.86,209.56,37317779
2015/11/30 下午 4:00:00,209.75,209.89,208.56,208.69,112822700
2015/12/1 下午 4:00:00,209.44,210.82,209.11,210.68,97858418
2015/12/2 下午 4:00:00,210.62,211,208.23,208.53,108441259
2015/12/3 下午 4:00:00,208.83,209.15,204.75,205.61,166224154
2015/12/4 下午 4:00:00,206.08,209.97,205.93,209.62,192913879
2015/12/7 下午 4:00:00,209.23,209.73,207.2,208.35,102027111
2015/12/8 下午 4:00:00,206.49,208.29,205.78,206.95,103372367
2015/12/9 下午 4:00:00,206.19,208.68,204.18,205.34,162401537
2015/12/10 下午 4:00:00,205.42,207.43,205.14,205.87,116128884
2015/12/11 下午 4:00:00,203.35,204.14,201.51,201.88,211173305
2015/12/14 下午 4:00:00,202.07,203.05,199.95,202.9,182385177
2015/12/15 下午 4:00:00,204.7,206.11,202.87,205.03,154069569
2015/12/16 下午 4:00:00,206.37,208.39,204.8,208.03,197017008
2015/12/17 下午 4:00:00,208.4,208.48,204.84,204.86,173092476
2015/12/18 下午 4:00:00,202.77,202.93,199.83,200.02,251393535
2015/12/21 下午 4:00:00,201.41,201.88,200.09,201.67,99094290
2015/12/22 下午 4:00:00,202.72,203.85,201.55,203.5,111026246
